Tanggal&Waktu,Username,Tweet
2022-06-13 11:07:04+00:00,_AnabellaParane,@Hasbulla_NFT Gm hasbik
2022-06-13 11:06:49+00:00,jamesatruett,"@MTK_NFT GM, MTK!"
2022-06-13 11:06:23+00:00,NeWAN_NFT,Pentas banner size berapaaaa ye resolution dia?
2022-06-13 11:05:00+00:00,tripodselfie,@CRYPTOFIED1 @Dropoutz_NFT Udah https://t.co/RzvrVu9c91
2022-06-13 11:04:58+00:00,machucajulio77,@Raz13Enj @keizer_teun @enjin @NFT_Enterprise 0x8D46ed5f6b53fF62cf4aF0D344652Ad81421793C
2022-06-13 11:04:49+00:00,aidejia1,"@wali_eth @nft_yotta 0xaF715B2Cd925b663E67F297045Cba016c05D8f80
@PunksFromAbove 
@gregory_g__ 
@Jayfans13 
@DaoStarter 
@aidejiaqhj"
2022-06-13 11:04:42+00:00,NeWAN_NFT,"RT @iamshapiqq: CERITA TENTANG SENJA #06 ⛅

Yang indah selalu sekejap cuma. Mungkin benar, kalau mahu nikmat, usahanya harus diganda lipat.…"
2022-06-13 11:04:42+00:00,MrM4J0R,@NFT_MHART GM Marilia
2022-06-13 11:04:09+00:00,therealKisstol,"RT @CryptoCannaClub: GM Tokers💨
IYKYG🍄
#CCC #NFTCommunity https://t.co/vdC77k97Du"
2022-06-13 11:03:24+00:00,machucajulio77,@Raz13Enj @nathan_akin34 @enjin @NFT_Enterprise @enjin 0x8D46ed5f6b53fF62cf4aF0D344652Ad81421793C
2022-06-13 11:02:55+00:00,MerkleTimeZ,"RT @CryptoCannaClub: GM Tokers💨
IYKYG🍄
#CCC #NFTCommunity https://t.co/vdC77k97Du"
2022-06-13 11:02:31+00:00,AStonedSquid,"RT @CryptoCannaClub: GM Tokers💨
IYKYG🍄
#CCC #NFTCommunity https://t.co/vdC77k97Du"
2022-06-13 11:02:31+00:00,Pieta3ls,@storyteller_nft 0x70b3D96507Ae14bD8ac5b1D1eC5728B703fB1ccC
2022-06-13 11:02:22+00:00,aidejia1,"@nft_cryptogang 0xaF715B2Cd925b663E67F297045Cba016c05D8f80
@PunksFromAbove 
@gregory_g__ 
@Jayfans13 
@DaoStarter 
@aidejiaqhj"
